name,Constructor,fullname,position
Brazilian Grand Prix,Caterham,Heikki Kovalainen,20
Brazilian Grand Prix,Caterham,Vitaly Petrov,19
Brazilian Grand Prix,Ferrari,Felipe Massa,5
Brazilian Grand Prix,Ferrari,Fernando Alonso,8
Brazilian Grand Prix,Force India,Nico Hulkenberg,7
Brazilian Grand Prix,Force India,Paul di Resta,11
Brazilian Grand Prix,HRT,Narain Karthikeyan,23
Brazilian Grand Prix,HRT,Pedro de la Rosa,24
Brazilian Grand Prix,Lotus F1,Kimi Raikkonen,9
Brazilian Grand Prix,Lotus F1,Romain Grosjean,18
Brazilian Grand Prix,Marussia,Charles Pic,22
Brazilian Grand Prix,Marussia,Timo Glock,21
Brazilian Grand Prix,McLaren,Jenson Button,2
Brazilian Grand Prix,McLaren,Lewis Hamilton,1
Brazilian Grand Prix,Mercedes,Michael Schumacher,14
Brazilian Grand Prix,Mercedes,Nico Rosberg,10
Brazilian Grand Prix,Red Bull,Mark Webber,3
Brazilian Grand Prix,Red Bull,Sebastian Vettel,4
Brazilian Grand Prix,Sauber,Kamui Kobayashi,15
Brazilian Grand Prix,Sauber,Sergio Perez,13
Brazilian Grand Prix,Toro Rosso,Daniel Ricciardo,16
Brazilian Grand Prix,Toro Rosso,Jean-eric Vergne,17
Brazilian Grand Prix,Williams,Bruno Senna,12
Brazilian Grand Prix,Williams,Pastor Maldonado,6
British Grand Prix,Caterham,Heikki Kovalainen,20
British Grand Prix,Caterham,Vitaly Petrov,19
British Grand Prix,Ferrari,Felipe Massa,5
British Grand Prix,Ferrari,Fernando Alonso,1
British Grand Prix,Force India,Nico Hulkenberg,9
British Grand Prix,Force India,Paul di Resta,11
British Grand Prix,HRT,Narain Karthikeyan,23
British Grand Prix,HRT,Pedro de la Rosa,22
British Grand Prix,Lotus F1,Kimi Raikkonen,6
British Grand Prix,Lotus F1,Romain Grosjean,10
British Grand Prix,Marussia,Charles Pic,24
British Grand Prix,Marussia,Timo Glock,21
British Grand Prix,McLaren,Jenson Button,18
British Grand Prix,McLaren,Lewis Hamilton,8
British Grand Prix,Mercedes,Michael Schumacher,3
British Grand Prix,Mercedes,Nico Rosberg,13
British Grand Prix,Red Bull,Mark Webber,2
British Grand Prix,Red Bull,Sebastian Vettel,4
British Grand Prix,Sauber,Kamui Kobayashi,12
British Grand Prix,Sauber,Sergio Perez,17
British Grand Prix,Toro Rosso,Daniel Ricciardo,14
British Grand Prix,Toro Rosso,Jean-eric Vergne,16
