raceId,year,name,forename,surname,name,finishingPosition,points
863,2012,"Bahrain Grand Prix",Jean-eric,Vergne,"Toro Rosso",14,0
863,2012,"Bahrain Grand Prix",Daniel,Ricciardo,"Toro Rosso",15,0
863,2012,"Bahrain Grand Prix",Vitaly,Petrov,Caterham,16,0
863,2012,"Bahrain Grand Prix",Heikki,Kovalainen,Caterham,17,0
863,2012,"Bahrain Grand Prix",Jenson,Button,McLaren,18,0
863,2012,"Bahrain Grand Prix",Timo,Glock,Marussia,19,0
863,2012,"Bahrain Grand Prix",Pedro,"de la Rosa",HRT,20,0
863,2012,"Bahrain Grand Prix",Narain,Karthikeyan,HRT,21,0
863,2012,"Bahrain Grand Prix",Bruno,Senna,Williams,22,0
863,2012,"Bahrain Grand Prix",Pastor,Maldonado,Williams,23,0
863,2012,"Bahrain Grand Prix",Charles,Pic,Marussia,24,0
864,2012,"Spanish Grand Prix",Pastor,Maldonado,Williams,1,25
864,2012,"Spanish Grand Prix",Fernando,Alonso,Ferrari,2,18
864,2012,"Spanish Grand Prix",Kimi,Raikkonen,"Lotus F1",3,15
864,2012,"Spanish Grand Prix",Romain,Grosjean,"Lotus F1",4,12
864,2012,"Spanish Grand Prix",Kamui,Kobayashi,Sauber,5,10
864,2012,"Spanish Grand Prix",Sebastian,Vettel,"Red Bull",6,8
864,2012,"Spanish Grand Prix",Nico,Rosberg,Mercedes,7,6
864,2012,"Spanish Grand Prix",Lewis,Hamilton,McLaren,8,4
864,2012,"Spanish Grand Prix",Jenson,Button,McLaren,9,2
864,2012,"Spanish Grand Prix",Nico,Hulkenberg,"Force India",10,1
864,2012,"Spanish Grand Prix",Mark,Webber,"Red Bull",11,0
864,2012,"Spanish Grand Prix",Jean-eric,Vergne,"Toro Rosso",12,0
864,2012,"Spanish Grand Prix",Daniel,Ricciardo,"Toro Rosso",13,0
864,2012,"Spanish Grand Prix",Paul,"di Resta","Force India",14,0
864,2012,"Spanish Grand Prix",Felipe,Massa,Ferrari,15,0
864,2012,"Spanish Grand Prix",Heikki,Kovalainen,Caterham,16,0
864,2012,"Spanish Grand Prix",Vitaly,Petrov,Caterham,17,0
864,2012,"Spanish Grand Prix",Timo,Glock,Marussia,18,0
864,2012,"Spanish Grand Prix",Pedro,"de la Rosa",HRT,19,0
864,2012,"Spanish Grand Prix",Sergio,Perez,Sauber,20,0
864,2012,"Spanish Grand Prix",Charles,Pic,Marussia,21,0
864,2012,"Spanish Grand Prix",Narain,Karthikeyan,HRT,22,0
864,2012,"Spanish Grand Prix",Bruno,Senna,Williams,23,0
864,2012,"Spanish Grand Prix",Michael,Schumacher,Mercedes,24,0
865,2012,"Monaco Grand Prix",Mark,Webber,"Red Bull",1,25
865,2012,"Monaco Grand Prix",Nico,Rosberg,Mercedes,2,18
865,2012,"Monaco Grand Prix",Fernando,Alonso,Ferrari,3,15
865,2012,"Monaco Grand Prix",Sebastian,Vettel,"Red Bull",4,12
865,2012,"Monaco Grand Prix",Lewis,Hamilton,McLaren,5,10
865,2012,"Monaco Grand Prix",Felipe,Massa,Ferrari,6,8
865,2012,"Monaco Grand Prix",Paul,"di Resta","Force India",7,6
865,2012,"Monaco Grand Prix",Nico,Hulkenberg,"Force India",8,4
865,2012,"Monaco Grand Prix",Kimi,Raikkonen,"Lotus F1",9,2
865,2012,"Monaco Grand Prix",Bruno,Senna,Williams,10,1
865,2012,"Monaco Grand Prix",Sergio,Perez,Sauber,11,0
865,2012,"Monaco Grand Prix",Jean-eric,Vergne,"Toro Rosso",12,0
865,2012,"Monaco Grand Prix",Heikki,Kovalainen,Caterham,13,0
865,2012,"Monaco Grand Prix",Timo,Glock,Marussia,14,0
865,2012,"Monaco Grand Prix",Narain,Karthikeyan,HRT,15,0
865,2012,"Monaco Grand Prix",Jenson,Button,McLaren,16,0
865,2012,"Monaco Grand Prix",Daniel,Ricciardo,"Toro Rosso",17,0
865,2012,"Monaco Grand Prix",Charles,Pic,Marussia,18,0
865,2012,"Monaco Grand Prix",Michael,Schumacher,Mercedes,19,0
865,2012,"Monaco Grand Prix",Vitaly,Petrov,Caterham,20,0
865,2012,"Monaco Grand Prix",Kamui,Kobayashi,Sauber,21,0
865,2012,"Monaco Grand Prix",Pedro,"de la Rosa",HRT,22,0
865,2012,"Monaco Grand Prix",Pastor,Maldonado,Williams,23,0
865,2012,"Monaco Grand Prix",Romain,Grosjean,"Lotus F1",24,0
866,2012,"Canadian Grand Prix",Lewis,Hamilton,McLaren,1,25
866,2012,"Canadian Grand Prix",Romain,Grosjean,"Lotus F1",2,18
866,2012,"Canadian Grand Prix",Sergio,Perez,Sauber,3,15
866,2012,"Canadian Grand Prix",Sebastian,Vettel,"Red Bull",4,12
866,2012,"Canadian Grand Prix",Fernando,Alonso,Ferrari,5,10
866,2012,"Canadian Grand Prix",Nico,Rosberg,Mercedes,6,8
866,2012,"Canadian Grand Prix",Mark,Webber,"Red Bull",7,6
866,2012,"Canadian Grand Prix",Kimi,Raikkonen,"Lotus F1",8,4
