year,circuitRef,circuitName,FastestLap
2004,monaco,"Circuit de Monaco",01:14.4
2004,monza,"Autodromo Nazionale di Monza",01:21.0
2004,spa,"Circuit de Spa-Francorchamps",01:45.1
2004,silverstone,"Silverstone Circuit",01:18.7
2005,monaco,"Circuit de Monaco",01:15.8
2005,silverstone,"Silverstone Circuit",01:20.5
2005,monza,"Autodromo Nazionale di Monza",01:21.5
2005,spa,"Circuit de Spa-Francorchamps",01:51.5
2006,monza,"Autodromo Nazionale di Monza",01:22.6
2006,silverstone,"Silverstone Circuit",01:21.6
2006,monaco,"Circuit de Monaco",01:15.1
2007,silverstone,"Silverstone Circuit",01:20.6
2007,monza,"Autodromo Nazionale di Monza",01:22.9
2007,spa,"Circuit de Spa-Francorchamps",01:48.0
2007,monaco,"Circuit de Monaco",01:15.3
2008,monaco,"Circuit de Monaco",01:16.7
2008,silverstone,"Silverstone Circuit",01:32.1
2008,spa,"Circuit de Spa-Francorchamps",01:47.9
2008,monza,"Autodromo Nazionale di Monza",01:28.0
2009,monaco,"Circuit de Monaco",01:15.2
2009,silverstone,"Silverstone Circuit",01:20.7
2009,spa,"Circuit de Spa-Francorchamps",01:47.3
2009,monza,"Autodromo Nazionale di Monza",01:24.7
2010,monaco,"Circuit de Monaco",01:15.2
2010,silverstone,"Silverstone Circuit",01:30.9
2010,spa,"Circuit de Spa-Francorchamps",01:49.1
2010,monza,"Autodromo Nazionale di Monza",01:24.1
2011,monaco,"Circuit de Monaco",01:16.2
2011,silverstone,"Silverstone Circuit",01:34.9
2011,spa,"Circuit de Spa-Francorchamps",01:49.9
2011,monza,"Autodromo Nazionale di Monza",01:26.2
2012,monaco,"Circuit de Monaco",01:17.3
2012,silverstone,"Silverstone Circuit",01:34.7
2012,spa,"Circuit de Spa-Francorchamps",01:52.8
2012,monza,"Autodromo Nazionale di Monza",01:27.2
2013,monaco,"Circuit de Monaco",01:16.6
2013,silverstone,"Silverstone Circuit",01:33.4
2013,spa,"Circuit de Spa-Francorchamps",01:50.8
2013,monza,"Autodromo Nazionale di Monza",01:25.8
2014,monaco,"Circuit de Monaco",01:18.5
2014,silverstone,"Silverstone Circuit",01:37.2
2014,spa,"Circuit de Spa-Francorchamps",01:50.5
2014,monza,"Autodromo Nazionale di Monza",01:28.0
2015,monaco,"Circuit de Monaco",01:18.1
2015,silverstone,"Silverstone Circuit",01:37.1
2015,spa,"Circuit de Spa-Francorchamps",01:52.4
2015,monza,"Autodromo Nazionale di Monza",01:26.7
2016,monaco,"Circuit de Monaco",01:17.9
2016,silverstone,"Silverstone Circuit",01:35.5
2016,spa,"Circuit de Spa-Francorchamps",01:51.6
2016,monza,"Autodromo Nazionale di Monza",01:25.3
2017,monaco,"Circuit de Monaco",01:14.8
2017,silverstone,"Silverstone Circuit",01:30.6
2017,spa,"Circuit de Spa-Francorchamps",01:46.6
2017,monza,"Autodromo Nazionale di Monza",01:23.4
2018,monaco,"Circuit de Monaco",01:14.3
2018,silverstone,"Silverstone Circuit",01:30.7
2018,spa,"Circuit de Spa-Francorchamps",01:46.3
2018,monza,"Autodromo Nazionale di Monza",01:22.5
2019,monaco,"Circuit de Monaco",01:14.3
2019,silverstone,"Silverstone Circuit",01:27.4
2019,spa,"Circuit de Spa-Francorchamps",01:46.4
2019,monza,"Autodromo Nazionale di Monza",01:21.8
2020,silverstone,"Silverstone Circuit",01:27.1
2020,spa,"Circuit de Spa-Francorchamps",01:47.5
2020,monza,"Autodromo Nazionale di Monza",01:22.7
