raceId,year,name,forename,surname,q3,name,position
863,2012,"Bahrain Grand Prix",Fernando,Alonso,\N,Ferrari,9
863,2012,"Bahrain Grand Prix",Paul,"di Resta",\N,"Force India",10
863,2012,"Bahrain Grand Prix",Kimi,Raikkonen,\N,"Lotus F1",11
863,2012,"Bahrain Grand Prix",Kamui,Kobayashi,\N,Sauber,12
863,2012,"Bahrain Grand Prix",Nico,Hulkenberg,\N,"Force India",13
863,2012,"Bahrain Grand Prix",Felipe,Massa,\N,Ferrari,14
863,2012,"Bahrain Grand Prix",Bruno,Senna,\N,Williams,15
863,2012,"Bahrain Grand Prix",Heikki,Kovalainen,\N,Caterham,16
863,2012,"Bahrain Grand Prix",Pastor,Maldonado,\N,Williams,17
863,2012,"Bahrain Grand Prix",Michael,Schumacher,\N,Mercedes,18
863,2012,"Bahrain Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",19
863,2012,"Bahrain Grand Prix",Vitaly,Petrov,\N,Caterham,20
863,2012,"Bahrain Grand Prix",Charles,Pic,\N,Marussia,21
863,2012,"Bahrain Grand Prix",Pedro,"de la Rosa",\N,HRT,22
863,2012,"Bahrain Grand Prix",Timo,Glock,\N,Marussia,23
863,2012,"Bahrain Grand Prix",Narain,Karthikeyan,\N,HRT,24
864,2012,"Spanish Grand Prix",Lewis,Hamilton,1:21.707,McLaren,1
864,2012,"Spanish Grand Prix",Pastor,Maldonado,1:22.285,Williams,2
864,2012,"Spanish Grand Prix",Fernando,Alonso,1:22.302,Ferrari,3
864,2012,"Spanish Grand Prix",Romain,Grosjean,1:22.424,"Lotus F1",4
864,2012,"Spanish Grand Prix",Kimi,Raikkonen,1:22.487,"Lotus F1",5
864,2012,"Spanish Grand Prix",Sergio,Perez,1:22.533,Sauber,6
864,2012,"Spanish Grand Prix",Nico,Rosberg,1:23.005,Mercedes,7
864,2012,"Spanish Grand Prix",Sebastian,Vettel,\N,"Red Bull",8
864,2012,"Spanish Grand Prix",Michael,Schumacher,\N,Mercedes,9
864,2012,"Spanish Grand Prix",Kamui,Kobayashi,\N,Sauber,10
864,2012,"Spanish Grand Prix",Jenson,Button,\N,McLaren,11
864,2012,"Spanish Grand Prix",Mark,Webber,\N,"Red Bull",12
864,2012,"Spanish Grand Prix",Paul,"di Resta",\N,"Force India",13
864,2012,"Spanish Grand Prix",Nico,Hulkenberg,\N,"Force India",14
864,2012,"Spanish Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",15
864,2012,"Spanish Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",16
864,2012,"Spanish Grand Prix",Felipe,Massa,\N,Ferrari,17
864,2012,"Spanish Grand Prix",Bruno,Senna,\N,Williams,18
864,2012,"Spanish Grand Prix",Vitaly,Petrov,\N,Caterham,19
864,2012,"Spanish Grand Prix",Heikki,Kovalainen,\N,Caterham,20
864,2012,"Spanish Grand Prix",Charles,Pic,\N,Marussia,21
864,2012,"Spanish Grand Prix",Timo,Glock,\N,Marussia,22
864,2012,"Spanish Grand Prix",Pedro,"de la Rosa",\N,HRT,23
864,2012,"Spanish Grand Prix",Narain,Karthikeyan,\N,HRT,24
865,2012,"Monaco Grand Prix",Michael,Schumacher,1:14.301,Mercedes,1
865,2012,"Monaco Grand Prix",Mark,Webber,1:14.381,"Red Bull",2
865,2012,"Monaco Grand Prix",Nico,Rosberg,1:14.448,Mercedes,3
865,2012,"Monaco Grand Prix",Lewis,Hamilton,1:14.583,McLaren,4
865,2012,"Monaco Grand Prix",Romain,Grosjean,1:14.639,"Lotus F1",5
865,2012,"Monaco Grand Prix",Fernando,Alonso,1:14.948,Ferrari,6
865,2012,"Monaco Grand Prix",Felipe,Massa,1:15.049,Ferrari,7
865,2012,"Monaco Grand Prix",Kimi,Raikkonen,1:15.199,"Lotus F1",8
865,2012,"Monaco Grand Prix",Pastor,Maldonado,1:15.245,Williams,9
865,2012,"Monaco Grand Prix",Sebastian,Vettel,\N,"Red Bull",10
865,2012,"Monaco Grand Prix",Nico,Hulkenberg,\N,"Force India",11
865,2012,"Monaco Grand Prix",Kamui,Kobayashi,\N,Sauber,12
865,2012,"Monaco Grand Prix",Jenson,Button,\N,McLaren,13
865,2012,"Monaco Grand Prix",Bruno,Senna,\N,Williams,14
865,2012,"Monaco Grand Prix",Paul,"di Resta",\N,"Force India",15
865,2012,"Monaco Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",16
865,2012,"Monaco Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",17
865,2012,"Monaco Grand Prix",Heikki,Kovalainen,\N,Caterham,18
865,2012,"Monaco Grand Prix",Vitaly,Petrov,\N,Caterham,19
865,2012,"Monaco Grand Prix",Timo,Glock,\N,Marussia,20
865,2012,"Monaco Grand Prix",Pedro,"de la Rosa",\N,HRT,21
865,2012,"Monaco Grand Prix",Charles,Pic,\N,Marussia,22
865,2012,"Monaco Grand Prix",Narain,Karthikeyan,\N,HRT,23
866,2012,"Canadian Grand Prix",Sebastian,Vettel,1:13.784,"Red Bull",1
866,2012,"Canadian Grand Prix",Lewis,Hamilton,1:14.087,McLaren,2
866,2012,"Canadian Grand Prix",Fernando,Alonso,1:14.151,Ferrari,3
866,2012,"Canadian Grand Prix",Mark,Webber,1:14.346,"Red Bull",4
866,2012,"Canadian Grand Prix",Nico,Rosberg,1:14.411,Mercedes,5
866,2012,"Canadian Grand Prix",Felipe,Massa,1:14.465,Ferrari,6
866,2012,"Canadian Grand Prix",Romain,Grosjean,1:14.645,"Lotus F1",7
866,2012,"Canadian Grand Prix",Paul,"di Resta",1:14.705,"Force India",8
866,2012,"Canadian Grand Prix",Michael,Schumacher,1:14.812,Mercedes,9
866,2012,"Canadian Grand Prix",Jenson,Button,1:15.182,McLaren,10
866,2012,"Canadian Grand Prix",Kamui,Kobayashi,\N,Sauber,11
866,2012,"Canadian Grand Prix",Kimi,Raikkonen,\N,"Lotus F1",12
866,2012,"Canadian Grand Prix",Nico,Hulkenberg,\N,"Force India",13
866,2012,"Canadian Grand Prix",Daniel,Ricciardo,\N,"Toro Rosso",14
866,2012,"Canadian Grand Prix",Sergio,Perez,\N,Sauber,15
866,2012,"Canadian Grand Prix",Bruno,Senna,\N,Williams,16
866,2012,"Canadian Grand Prix",Pastor,Maldonado,\N,Williams,17
866,2012,"Canadian Grand Prix",Heikki,Kovalainen,\N,Caterham,18
866,2012,"Canadian Grand Prix",Vitaly,Petrov,\N,Caterham,19
866,2012,"Canadian Grand Prix",Jean-eric,Vergne,\N,"Toro Rosso",20
866,2012,"Canadian Grand Prix",Pedro,"de la Rosa",\N,HRT,21
866,2012,"Canadian Grand Prix",Timo,Glock,\N,Marussia,22
866,2012,"Canadian Grand Prix",Charles,Pic,\N,Marussia,23
866,2012,"Canadian Grand Prix",Narain,Karthikeyan,\N,HRT,24
867,2012,"European Grand Prix",Sebastian,Vettel,1:38.086,"Red Bull",1
867,2012,"European Grand Prix",Lewis,Hamilton,1:38.410,McLaren,2
867,2012,"European Grand Prix",Pastor,Maldonado,1:38.475,Williams,3
867,2012,"European Grand Prix",Romain,Grosjean,1:38.505,"Lotus F1",4
867,2012,"European Grand Prix",Kimi,Raikkonen,1:38.513,"Lotus F1",5
867,2012,"European Grand Prix",Nico,Rosberg,1:38.623,Mercedes,6
