raceId,year,name,forename,surname,name,finishingPosition,points
39,2007,"Spanish Grand Prix",Kimi,Raikkonen,Ferrari,19,0
39,2007,"Spanish Grand Prix",Jarno,Trulli,Toyota,20,0
39,2007,"Spanish Grand Prix",Mark,Webber,"Red Bull",21,0
39,2007,"Spanish Grand Prix",Alexander,Wurz,Williams,22,0
40,2007,"Monaco Grand Prix",Fernando,Alonso,McLaren,1,10
40,2007,"Monaco Grand Prix",Lewis,Hamilton,McLaren,2,8
40,2007,"Monaco Grand Prix",Felipe,Massa,Ferrari,3,6
40,2007,"Monaco Grand Prix",Giancarlo,Fisichella,Renault,4,5
40,2007,"Monaco Grand Prix",Robert,Kubica,"BMW Sauber",5,4
40,2007,"Monaco Grand Prix",Nick,Heidfeld,"BMW Sauber",6,3
40,2007,"Monaco Grand Prix",Alexander,Wurz,Williams,7,2
40,2007,"Monaco Grand Prix",Kimi,Raikkonen,Ferrari,8,1
40,2007,"Monaco Grand Prix",Scott,Speed,"Toro Rosso",9,0
40,2007,"Monaco Grand Prix",Rubens,Barrichello,Honda,10,0
40,2007,"Monaco Grand Prix",Jenson,Button,Honda,11,0
40,2007,"Monaco Grand Prix",Nico,Rosberg,Williams,12,0
40,2007,"Monaco Grand Prix",Heikki,Kovalainen,Renault,13,0
40,2007,"Monaco Grand Prix",David,Coulthard,"Red Bull",14,0
40,2007,"Monaco Grand Prix",Jarno,Trulli,Toyota,15,0
40,2007,"Monaco Grand Prix",Ralf,Schumacher,Toyota,16,0
40,2007,"Monaco Grand Prix",Takuma,Sato,"Super Aguri",17,0
40,2007,"Monaco Grand Prix",Anthony,Davidson,"Super Aguri",18,0
40,2007,"Monaco Grand Prix",Christijan,Albers,Spyker,19,0
40,2007,"Monaco Grand Prix",Adrian,Sutil,Spyker,20,0
40,2007,"Monaco Grand Prix",Mark,Webber,"Red Bull",21,0
40,2007,"Monaco Grand Prix",Vitantonio,Liuzzi,"Toro Rosso",22,0
41,2007,"Canadian Grand Prix",Lewis,Hamilton,McLaren,1,10
41,2007,"Canadian Grand Prix",Nick,Heidfeld,"BMW Sauber",2,8
